Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W001","10","28","5","89","90","24"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W002","4","27","1","89","11","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W003","20","22","4","74","194","51"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W004","11","17","5","58","138","56"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W005","28","35","11","138","314","78"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W006","24","27","7","94","166","50"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","W007","15","47","11","129","311","78"
"U. S. Representative -- 2nd Congressional District","Jefferson","Early Voting","","453","2172","278","18982","4821","1886"
"U. S. Representative -- 2nd Congressional District","Jefferson","Provisional Votes","","4","7","1","15","6","4"
"U. S. Representative -- 2nd Congressional District","Orleans","01","01","11","37","9","101","32","7"
"U. S. Representative -- 2nd Congressional District","Orleans","01","02","13","14","3","62","21","4"
"U. S. Representative -- 2nd Congressional District","Orleans","01","05","15","18","3","95","43","11"
"U. S. Representative -- 2nd Congressional District","Orleans","01","06","24","17","10","127","4","0"
"U. S. Representative -- 2nd Congressional District","Orleans","02","01","8","14","9","94","67","24"
"U. S. Representative -- 2nd Congressional District","Orleans","02","02","9","19","9","59","30","10"
"U. S. Representative -- 2nd Congressional District","Orleans","02","04","14","37","9","213","3","6"
"U. S. Representative -- 2nd Congressional District","Orleans","02","06","10","26","3","122","2","4"
"U. S. Representative -- 2nd Congressional District","Orleans","02","07","18","60","9","201","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","03","01","18","40","13","182","117","30"
"U. S. Representative -- 2nd Congressional District","Orleans","03","08","18","60","13","207","11","7"
"U. S. Representative -- 2nd Congressional District","Orleans","03","09","11","18","4","103","8","3"
"U. S. Representative -- 2nd Congressional District","Orleans","03","12","34","36","18","174","34","7"
